shortcode;module;name
m00;M00;Travail propédeutique
m01;M01;Introduction au droit
m02;M02;Droit pénal 1
m03;M03;Droit public 1
m04;M04;Droit privé 1 (Droit romain)
m05;M05;Méthodologie juridique
m06;M06;Droit de la concurrence
m07;M07;Théorie du droit
m08;M08;Droit public 2
m09;M09;Droit privé 2
m10;M10;Droit pénal 2
m11;M11;Code civil 1
m12;M12;Droit de la procédure
m13;M13;Droit de la poursuite et de la faillite
m14;M14;Droit public 3
m15;M15;Droit privé 3
m16;M16;Droit commercial
m17;M17;Code civil 2
m18;M18;Travail de Bachelor
